Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1r_S111_L001_R1	(1.0, 7.307294747471127)	(2.0, 2.1951758709901)	(3.0, 1.3748229937801357)	(4.0, 1.042021425968082)	(5.0, 0.8394725364020387)	(6.0, 0.7205721558013228)	(7.0, 0.6231813917916913)	(8.0, 0.6166090089444156)	(9.0, 0.48934377744716706)	('>10', 8.434757150453793)	('>50', 6.138605579355548)	('>100', 17.532129989782934)	('>500', 7.276225301284005)	('>1k', 13.022877867202018)	('>5k', 3.218675127115859)	('>10k+', 29.168235076209765)
Yell_July18_Site1r_S111_L001_R2	(1.0, 7.876702097785107)	(2.0, 2.0792629371381457)	(3.0, 1.2798221871695137)	(4.0, 0.9368633004116701)	(5.0, 0.7588114741854726)	(6.0, 0.7671763250820054)	(7.0, 0.6231813917916913)	(8.0, 0.48277139459989127)	(9.0, 0.37104088619620357)	('>10', 9.697252146480489)	('>50', 5.591902824332156)	('>100', 14.435342690016551)	('>500', 1.9077834937592237)	('>1k', 11.9462020589483)	('>5k', 8.267460132523139)	('>10k+', 32.97842465958044)
Yell_July18_Site1s_S112_L001_R1	(1.0, 9.29281122150789)	(2.0, 2.8533321344542855)	(3.0, 1.7923241768946034)	(4.0, 1.3747146418099079)	(5.0, 0.9915728793578004)	(6.0, 0.9770864241933791)	(7.0, 0.734313416955147)	(8.0, 0.6833610574113205)	(9.0, 0.6204199073865936)	('>10', 9.395715006468953)	('>50', 5.803074125692477)	('>100', 18.360832621498897)	('>500', 8.866709626499224)	('>1k', 24.61948078546559)	('>5k', 3.1750313456917785)	('>10k+', 10.459220628712155)
Yell_July18_Site1s_S112_L001_R2	(1.0, 9.691938037934532)	(2.0, 2.5306338573433838)	(3.0, 1.4956016124923197)	(4.0, 1.094976197255566)	(5.0, 0.951610244421466)	(6.0, 0.7433050098158223)	(7.0, 0.6713722669304201)	(8.0, 0.5754619430832172)	(9.0, 0.5305039787798408)	('>10', 10.725971216912187)	('>50', 5.396953848151978)	('>100', 13.126726510712484)	('>500', 4.263014081833486)	('>1k', 15.281711599654324)	('>5k', 12.98286102494168)	('>10k+', 19.937358569737295)
Yell_July18_Site1t_S113_L001_R1	(1.0, 8.905188862095178)	(2.0, 2.971249062359983)	(3.0, 1.9361951700841233)	(4.0, 1.3572496564084233)	(5.0, 0.9565186747685476)	(6.0, 0.8789903190241496)	(7.0, 0.7435674119121816)	(8.0, 0.5316230108187296)	(9.0, 0.5210509623081299)	('>10', 9.42070208470728)	('>50', 5.185338079008442)	('>100', 19.5925230445486)	('>500', 6.630688139671864)	('>1k', 12.54499413503023)	('>5k', 15.565579423773013)	('>10k+', 12.258541963481123)
Yell_July18_Site1t_S113_L001_R2	(1.0, 9.386468784768196)	(2.0, 2.571524942483022)	(3.0, 1.5223749855263622)	(4.0, 1.2364262448587122)	(5.0, 0.9716216012122615)	(6.0, 0.7188992987207822)	(7.0, 0.683659137018783)	(8.0, 0.5477327990253579)	(9.0, 0.6660390561677835)	('>10', 10.293147802272488)	('>50', 4.8218609825963945)	('>100', 13.071079406152933)	('>500', 3.3040168750031462)	('>1k', 11.961014312539959)	('>5k', 18.21463272200043)	('>10k+', 20.029501049653387)
Yell_July18_Site1v_S117_L001_R1	(1.0, 7.649419921225195)	(2.0, 2.2011869882052437)	(3.0, 1.3232879358640008)	(4.0, 1.075372677806755)	(5.0, 0.8478487180312738)	(6.0, 0.7984803116648959)	(7.0, 0.6686199383968147)	(8.0, 0.7383796430449574)	(9.0, 0.700280112044818)	('>10', 15.30957210470395)	('>50', 5.297981261470105)	('>100', 14.670465887504427)	('>500', 4.120652092254526)	('>1k', 18.750871996308103)	('>5k', 8.565955117679255)	('>10k+', 17.28162529379568)
Yell_July18_Site1v_S117_L001_R2	(1.0, 8.675424192665572)	(2.0, 2.888051772433111)	(3.0, 1.9897614218101034)	(4.0, 1.6635006493018665)	(5.0, 1.3603142406387843)	(6.0, 1.1301072152999132)	(7.0, 1.0442491172714297)	(8.0, 0.9058029342005001)	(9.0, 0.7727228822563508)	('>10', 9.611277461176043)	('>50', 4.991038561018277)	('>100', 8.32877212187557)	('>500', 5.033430996919841)	('>1k', 12.729536258948023)	('>5k', 10.431222297348059)	('>10k+', 28.444787876836557)
Yell_July18_Site1w_S118_L001_R1	(1.0, 7.2568488332361865)	(2.0, 2.2099169899302553)	(3.0, 1.3521797680541876)	(4.0, 1.0290836733463309)	(5.0, 0.8089964424255823)	(6.0, 0.7175446706731253)	(7.0, 0.6471971539404658)	(8.0, 0.5266014109701928)	(9.0, 0.5336361626434587)	('>10', 8.211062649488474)	('>50', 4.948445319880208)	('>100', 13.54089200651217)	('>500', 8.512049524651779)	('>1k', 21.997668482302572)	('>5k', 16.648242317046208)	('>10k+', 11.0596345948988)
Yell_July18_Site1w_S118_L001_R2	(1.0, 6.884509476815468)	(2.0, 1.6722609691877877)	(3.0, 0.9798404116334694)	(4.0, 0.7657829678612345)	(5.0, 0.5954414809157237)	(6.0, 0.5336361626434587)	(7.0, 0.4713283621088175)	(8.0, 0.35776737081181037)	(9.0, 0.4205776536088276)	('>10', 8.272867967760739)	('>50', 4.958997447390107)	('>100', 10.240086024963318)	('>500', 4.454002773702088)	('>1k', 17.139669969650072)	('>5k', 10.348119711374189)	('>10k+', 31.905111249572894)
